Company_Brand,Sector,Stage,HeadQuarter,What_it_does,Amount,Year,Founded,Founders,Investor
TheCollegeFever,Brand Marketing,Seed,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",250000.0,2018,,,
Happy Cow Dairy,Agriculture,Seed,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,584698.726672348,2018,,,
MyLoanCare,Credit,Series A,Gurgaon,Leading Online Loans Marketplace in India,950135.4308425655,2018,,,
PayMe India,Financial Services,Angel,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2000000.0,2018,,,
Eunimart,E-Commerce Platforms,Seed,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,10619650.666501379,2018,,,
Hasura,Cloud Infrastructure,Seed,Bangalore,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",1600000.0,2018,,,
Tripshelf,Internet,Seed,Kalkaji,Tripshelf is an online market place for holiday packages.,233879.4906689392,2018,,,
Hyperdata.IO,Market Research,Angel,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,730873.408340435,2018,,,
Freightwalla,Information Services,Seed,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,10619650.666501379,2018,,,
Microchip Payments,Mobile Payments,Seed,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,10619650.666501379,2018,,,
BizCrum Infotech Pvt. Ltd.,B2B,Seed,New Delhi,Building Transactionary B2B Marketplaces,10619650.666501379,2018,,,
Emojifi,Internet,Seed,Bangalore,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",10619650.666501379,2018,,,
Flock,Apps,Seed,New Delhi,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,10619650.666501379,2018,,,
Freshboxx,Food Delivery,Seed,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",10619650.666501379,2018,,,
